Store_ID,Store_Name,Brand_Name,Store_Type,City,City_Tier,Product_Name,Category,Sub_Category,Product_Stage,Quantity_Available,Units_Sold,Unit_Price,Cost_Price,Revenue,Profit_Margin,Average_Order_Value,Inventory_Turnover,Days_of_Stock,Customer_Segment,Sales_Channel,Payment_Method,Supplier,Supplier_Rating,Promotion_Type,Promotion_Impact,Max_Discount_Offered,Return_Rate,Return_Reason,Customer_Satisfaction,Online_Rating,Review_Count,Sales_Rep_Experience,Sales_Rep_Rating,Market_Share,Competition_Level,Competitor_Count,Brand_Loyalty,Brand_Awareness,Price_Competitiveness,Weather_Impact,Delivery_Time,Shipping_Cost,Month,Year,Quarter,Season
Bx_Pune_034,Brandx_India Superstore Pune,Brandx_India,Flagship,Pune,Tier1,Green Tea 100G,Groceries,Tea,Declining,125.0,24.0,305,239,7320.0,21.64,432,2.3,156,Budget,Brandx_India Online,Upi,Brandx_India E-Commerce Hub,Nan,Festival Offer,23.1,9,3.1,Wrong Size,4.0,4.6,53,5,4.8,15.3,Medium,8,70.8,75.7,Standard,Low,6.0,57.0,1,2022,Q1,Spring
Bx_Mumbai_023,Brandx_India Superstore Mumbai,Brandx_India,Street Store,Mumbai,Metro,White Sugar 1Kg,Groceries,Sugar,Declining,135.0,35.0,47,33,1645.0,29.79,63,3.11,116,Luxury,Brandx_India Online,Upi,Brandx_India Direct Import,Nan,Clearance,34.9,21,2.9,Poor Quality,3.9,4.4,202,10,3.6,18.9,High,25,80.5,81.5,Competitive,Low,4.0,99.0,1,2022,Q1,Spring
Bx_Pune_073,Brandx_India Trends Pune,Brandx_India,Flagship,Pune,Tier1,Levi'S T-Shirt,Clothes,T-Shirts,Declining,215.0,31.0,2140,1715,66340.0,19.86,2994,1.73,208,Mid-Range,Brandx_India Online,Wallet,Brandx_India Local Sourcing,Nan,Clearance,29.4,36,6.3,Wrong Size,4.3,4.7,77,1,4.0,14.2,Medium,11,68.5,76.7,Standard,Medium,4.0,101.0,1,2022,Q1,Spring
Bx_Chennai_061,Brandx_India Trends Chennai,Brandx_India,Mall Store,Chennai,Metro,Adidas Hoodie,Clothes,Jackets,New Launch,163.0,22.0,3534,2894,77748.0,18.11,4416,1.62,222,Premium,Brandx_India App,Card,Brandx_India Direct Import,Nan,Flash Sale,37.3,31,4.0,Wrong Size,4.4,5.0,221,7,3.9,16.4,High,19,92.4,88.0,Competitive,Medium,5.0,79.0,1,2022,Q1,Spring
Bx_Chennai_033,Brandx_India Connect Chennai,Brandx_India,Mall Store,Chennai,Metro,Playstation 5,Gadgets,Gaming Consoles,Declining,167.0,39.0,50676,40467,1976364.0,20.15,54629,2.8,128,Budget,Brandx_India App,Card,Brandx_India Local Sourcing,Nan,Bogo,33.1,43,4.8,Defective,3.9,4.9,205,6,4.9,13.4,High,19,82.9,89.5,Competitive,Low,2.0,110.0,1,2022,Q1,Spring
Bx_Delhi_082,Brandx_India Superstore Delhi,Brandx_India,Street Store,Delhi,Metro,Toor Dal 1Kg,Groceries,Dal,New Launch,171.0,107.0,173,139,18511.0,19.65,206,7.51,48,Mid-Range,Brandx_India Store,Credit,Brandx_India Brand Partners,Nan,Bogo,13.7,34,7.3,Poor Quality,4.0,4.4,146,3,4.2,13.3,Very High,25,81.3,85.3,Aggressive,Low,4.0,108.0,1,2022,Q1,Spring
Bx_Mumbai_062,Brandx_India Accessories Mumbai,Brandx_India,Street Store,Mumbai,Metro,Playstation 5,Gadgets,Gaming Consoles,Mature,113.0,59.0,51299,41568,3026641.0,18.97,74876,6.27,57,Premium,Brandx_India Online,Cash,Brandx_India Direct Import,Nan,No Promotion,0.0,0,1.5,Damaged,4.4,4.1,441,4,4.2,17.2,High,24,98.0,81.6,Competitive,Low,2.0,90.0,1,2022,Q1,Spring
Bx_Delhi_062,Brandx_India Digital Delhi,Brandx_India,Mall Store,Delhi,Metro,Macbook Air M2,Electronics,Laptops,Mature,159.0,47.0,103410,80707,4860270.0,21.95,121417,3.55,101,Budget,Brandx_India Phone Order,Wallet,Brandx_India E-Commerce Hub,Nan,Festival Offer,33.2,10,4.1,Poor Quality,4.3,4.6,282,6,4.4,26.0,High,25,81.6,82.4,Competitive,Low,3.0,137.0,1,2022,Q1,Spring
Bx_Mumbai_042,Brandx_India Appliances Mumbai,Brandx_India,Street Store,Mumbai,Metro,Nike Air Max,Home Appliances,Water Purifiers,Declining,183.0,51.0,17070,13484,870570.0,21.01,23093,3.34,108,Premium,Brandx_India Phone Order,Upi,Brandx_India E-Commerce Hub,Nan,No Promotion,0.0,0,2.4,Wrong Size,4.0,4.4,159,3,4.2,15.1,Very High,21,96.3,82.7,Aggressive,Low,4.0,214.0,1,2022,Q1,Spring
Bx_Nagpur_077,Brandx_India Style Nagpur,Brandx_India,Mall Store,Nagpur,Tier2,H&M Cotton Tee,Clothes,T-Shirts,New Launch,184.0,44.0,808,618,35552.0,23.51,866,2.87,125,Budget,Brandx_India Social Commerce,Card,Brandx_India Direct Import,Nan,No Promotion,0.0,0,3.5,Defective,4.0,4.7,222,2,3.6,11.2,Low,6,69.6,64.6,Standard,Medium,3.0,73.0,1,2022,Q1,Spring
